1:>NC_043957.1 Sphaeramia orbicularis chromosome 1, fSphaOr1.1, whole genome shotgun sequence
744008:>NC_043958.1 Sphaeramia orbicularis chromosome 2, fSphaOr1.1, whole genome shotgun sequence
1127696:>NC_043959.1 Sphaeramia orbicularis chromosome 3, fSphaOr1.1, whole genome shotgun sequence
1918516:>NC_043960.1 Sphaeramia orbicularis chromosome 4, fSphaOr1.1, whole genome shotgun sequence
2670924:>NC_043961.1 Sphaeramia orbicularis chromosome 5, fSphaOr1.1, whole genome shotgun sequence
3447662:>NC_043962.1 Sphaeramia orbicularis chromosome 6, fSphaOr1.1, whole genome shotgun sequence
4174820:>NC_043963.1 Sphaeramia orbicularis chromosome 7, fSphaOr1.1, whole genome shotgun sequence
4889386:>NC_043964.1 Sphaeramia orbicularis chromosome 8, fSphaOr1.1, whole genome shotgun sequence
5587435:>NC_043965.1 Sphaeramia orbicularis chromosome 9, fSphaOr1.1, whole genome shotgun sequence
6304166:>NC_043966.1 Sphaeramia orbicularis chromosome 10, fSphaOr1.1, whole genome shotgun sequence
6992655:>NC_043967.1 Sphaeramia orbicularis chromosome 11, fSphaOr1.1, whole genome shotgun sequence
7698830:>NC_043968.1 Sphaeramia orbicularis chromosome 12, fSphaOr1.1, whole genome shotgun sequence
8713827:>NC_043969.1 Sphaeramia orbicularis chromosome 13, fSphaOr1.1, whole genome shotgun sequence
9380215:>NC_043970.1 Sphaeramia orbicularis chromosome 14, fSphaOr1.1, whole genome shotgun sequence
10080182:>NC_043971.1 Sphaeramia orbicularis chromosome 15, fSphaOr1.1, whole genome shotgun sequence
10765395:>NC_043972.1 Sphaeramia orbicularis chromosome 16, fSphaOr1.1, whole genome shotgun sequence
11541396:>NC_043973.1 Sphaeramia orbicularis chromosome 17, fSphaOr1.1, whole genome shotgun sequence
12264349:>NC_043974.1 Sphaeramia orbicularis chromosome 18, fSphaOr1.1, whole genome shotgun sequence
12860901:>NC_043975.1 Sphaeramia orbicularis chromosome 19, fSphaOr1.1, whole genome shotgun sequence
13527688:>NC_043976.1 Sphaeramia orbicularis chromosome 20, fSphaOr1.1, whole genome shotgun sequence
14115703:>NC_043977.1 Sphaeramia orbicularis chromosome 21, fSphaOr1.1, whole genome shotgun sequence
14864558:>NC_043978.1 Sphaeramia orbicularis chromosome 22, fSphaOr1.1, whole genome shotgun sequence
15568358:>NC_043979.1 Sphaeramia orbicularis chromosome 24, fSphaOr1.1, whole genome shotgun sequence
16196454:>NW_021941432.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16197147:>NW_021941433.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16197831:>NW_021941434.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16198516:>NW_021941435.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16199194:>NW_021941436.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16199872:>NW_021941437.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16200544:>NW_021941438.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16208954:>NW_021941439.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16209624:>NW_021941440.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16210288:>NW_021941441.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16210957:>NW_021941442.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
16219102:>NW_021941443.1 Sphaeramia orbicularis unplaced genomic scaffold, fSphaOr1.1, whole genome shotgun sequence
