apnd_maf	cpnd_maf	change_abs	change	chrpos	chromo	position	chr_len	chr_start	pos_cum	fdr	neg_log_10_fdr	p_value	test_statistic
5e-06	0.127784	0.127779	0.127779	NC_043957.1:22976	NC_043957.1	22976	59479124	0	22976	1.12198301355368e-22	21.9500137181028	1.40791527145565e-23	100.156880471241
4e-06	0.011502	0.011498	0.011498	NC_043957.1:569664	NC_043957.1	569664	59479124	0	569664	0.0402770696726554	1.39494213373136	0.026140462746747	4.94670374778454
6e-06	0.03295	0.032944	0.032944	NC_043957.1:569723	NC_043957.1	569723	59479124	0	569723	0.00175660921096312	2.75532484430963	0.000851766030780595	11.1248970668152
5e-06	0.065332	0.065327	0.065327	NC_043957.1:901766	NC_043957.1	901766	59479124	0	901766	3.77617662458871e-25	24.4229477004729	4.2862475949511e-26	111.639216064684
8e-06	0.02722	0.027212	0.027212	NC_043957.1:1114226	NC_043957.1	1114226	59479124	0	1114226	0.00350353809964503	2.45549315535732	0.00178815904399933	9.7552029106471
8e-06	0.058885	0.058877	0.058877	NC_043957.1:1114256	NC_043957.1	1114256	59479124	0	1114256	3.11733512853017e-06	5.50621650646627	1.0279748679152e-06	23.8750119803889
5e-06	0.038163	0.038158	0.038158	NC_043957.1:1114281	NC_043957.1	1114281	59479124	0	1114281	0.000107076735016345	3.97030487978995	4.26800990556901e-05	16.7483173033804
2e-06	0.059064	0.059062	0.059062	NC_043957.1:1120481	NC_043957.1	1120481	59479124	0	1120481	3.33485990864788e-14	13.4769224052794	6.02353063213434e-15	60.8938963370021
2e-06	0.074989	0.074987	0.074987	NC_043957.1:1120483	NC_043957.1	1120483	59479124	0	1120483	9.00537312669678e-18	17.0454982880073	1.37058717823819e-18	77.4365013809243
5e-06	0.008349	0.008344	0.008344	NC_043957.1:1120573	NC_043957.1	1120573	59479124	0	1120573	0.0054578019157602	2.26298223056671	0.00292622482696446	8.85290691680024
4e-06	0.076927	0.076923	0.076923	NC_043957.1:1120713	NC_043957.1	1120713	59479124	0	1120713	1.56987360771397e-21	20.8041353117194	2.0623998022025e-22	94.8416533417762
8e-06	0.057536	0.057528	0.057528	NC_043957.1:1120715	NC_043957.1	1120715	59479124	0	1120715	2.74495039787765e-16	15.5614654989817	4.47374258515046e-17	70.5560466389314
4e-06	0.034894	0.03489	0.03489	NC_043957.1:1120724	NC_043957.1	1120724	59479124	0	1120724	8.58438446598026e-11	10.0662908400036	1.89929826272459e-11	45.0719150843838
4e-06	0.069543	0.069539	0.069539	NC_043957.1:1120743	NC_043957.1	1120743	59479124	0	1120743	3.86332642594205e-21	20.4130385952473	5.14834997076016e-22	93.0309278538726
4e-06	0.145094	0.14509	0.14509	NC_043957.1:1120745	NC_043957.1	1120745	59479124	0	1120745	1.77589419666706e-48	47.7505829119653	1.07805126788033e-49	219.650405135765
4e-06	0.129881	0.129877	0.129877	NC_043957.1:1120771	NC_043957.1	1120771	59479124	0	1120771	4.80619623398037e-42	41.3181985011986	3.33319095741954e-43	189.905949802687
7e-06	0.140223	0.140216	0.140216	NC_043957.1:1120773	NC_043957.1	1120773	59479124	0	1120773	1.11539133568278e-44	43.9525727334143	7.30031999351071e-46	202.091909943707
2e-06	0.275628	0.275626	0.275626	NC_043957.1:1120788	NC_043957.1	1120788	59479124	0	1120788	1.79414911591989e-100	99.746141464564	4.68554497771545e-102	460.051150152541
2.8e-05	0.186447	0.186419	0.186419	NC_043957.1:1120816	NC_043957.1	1120816	59479124	0	1120816	1.82615927064211e-54	53.7384613476426	9.76970706115812e-56	247.36052263516
3.4e-05	0.142065	0.142031	0.142031	NC_043957.1:1120818	NC_043957.1	1120818	59479124	0	1120818	1.15422169298985e-39	38.9377107676142	8.49519097166267e-41	178.883630618428
4e-06	0.14913	0.149126	0.149126	NC_043957.1:1120833	NC_043957.1	1120833	59479124	0	1120833	2.77289657708922e-41	40.5570663283439	1.95475290458257e-42	186.386624249594
2e-06	0.019416	0.019414	0.019414	NC_043957.1:1120900	NC_043957.1	1120900	59479124	0	1120900	1.64803233811031e-05	4.78303427071835	5.88957387106215e-06	20.523756241044
2e-06	0.068924	0.068922	0.068922	NC_043957.1:1120906	NC_043957.1	1120906	59479124	0	1120906	6.64760511028944e-18	17.1773347869851	1.00480523521247e-18	78.0496959027212
2e-06	0.082424	0.082422	0.082422	NC_043957.1:1120945	NC_043957.1	1120945	59479124	0	1120945	5.33119054752058e-25	24.2731757946355	6.07647625521243e-26	110.947299526513
2e-06	0.091033	0.091031	0.091031	NC_043957.1:1120947	NC_043957.1	1120947	59479124	0	1120947	3.26870560342703e-28	27.4856241924709	3.32929735325698e-29	125.842212386984
1e-05	0.250969	0.250959	0.250959	NC_043957.1:1120960	NC_043957.1	1120960	59479124	0	1120960	8.5845139077822e-83	82.0662842914343	2.87970722977487e-84	378.326326575843
1e-05	0.229869	0.229859	0.229859	NC_043957.1:1120962	NC_043957.1	1120962	59479124	0	1120962	2.17699436416548e-70	69.6621426952653	8.6876377816563e-72	321.019185288084
3e-06	0.174196	0.174193	0.174193	NC_043957.1:1120990	NC_043957.1	1120990	59479124	0	1120990	4.73988359939917e-60	59.324232323465	2.27312775739002e-61	273.204011601176
