era	allele_freq	allele_freq_bin_3	allele_freq_bin_5	chrpos	chromo	position	chr_len	chr_start	pos_cum	fdr	neg_log_10_fdr	p_value	test_statistic
Historical	5e-06	< 0.25	< 0.25	NC_043957.1:22976	NC_043957.1	22976	59479124	0	22976	1.12198301355368e-22	21.9500137181028	1.40791527145565e-23	100.156880471241
Modern	0.127784	< 0.25	< 0.25	NC_043957.1:22976	NC_043957.1	22976	59479124	0	22976	1.12198301355368e-22	21.9500137181028	1.40791527145565e-23	100.156880471241
Historical	4e-06	< 0.25	< 0.25	NC_043957.1:569664	NC_043957.1	569664	59479124	0	569664	0.0402770696726554	1.39494213373136	0.026140462746747	4.94670374778454
Modern	0.011502	< 0.25	< 0.25	NC_043957.1:569664	NC_043957.1	569664	59479124	0	569664	0.0402770696726554	1.39494213373136	0.026140462746747	4.94670374778454
Historical	6e-06	< 0.25	< 0.25	NC_043957.1:569723	NC_043957.1	569723	59479124	0	569723	0.00175660921096312	2.75532484430963	0.000851766030780595	11.1248970668152
Modern	0.03295	< 0.25	< 0.25	NC_043957.1:569723	NC_043957.1	569723	59479124	0	569723	0.00175660921096312	2.75532484430963	0.000851766030780595	11.1248970668152
Historical	5e-06	< 0.25	< 0.25	NC_043957.1:901766	NC_043957.1	901766	59479124	0	901766	3.77617662458871e-25	24.4229477004729	4.2862475949511e-26	111.639216064684
Modern	0.065332	< 0.25	< 0.25	NC_043957.1:901766	NC_043957.1	901766	59479124	0	901766	3.77617662458871e-25	24.4229477004729	4.2862475949511e-26	111.639216064684
Historical	8e-06	< 0.25	< 0.25	NC_043957.1:1114226	NC_043957.1	1114226	59479124	0	1114226	0.00350353809964503	2.45549315535732	0.00178815904399933	9.7552029106471
Modern	0.02722	< 0.25	< 0.25	NC_043957.1:1114226	NC_043957.1	1114226	59479124	0	1114226	0.00350353809964503	2.45549315535732	0.00178815904399933	9.7552029106471
Historical	8e-06	< 0.25	< 0.25	NC_043957.1:1114256	NC_043957.1	1114256	59479124	0	1114256	3.11733512853017e-06	5.50621650646627	1.0279748679152e-06	23.8750119803889
Modern	0.058885	< 0.25	< 0.25	NC_043957.1:1114256	NC_043957.1	1114256	59479124	0	1114256	3.11733512853017e-06	5.50621650646627	1.0279748679152e-06	23.8750119803889
Historical	5e-06	< 0.25	< 0.25	NC_043957.1:1114281	NC_043957.1	1114281	59479124	0	1114281	0.000107076735016345	3.97030487978995	4.26800990556901e-05	16.7483173033804
Modern	0.038163	< 0.25	< 0.25	NC_043957.1:1114281	NC_043957.1	1114281	59479124	0	1114281	0.000107076735016345	3.97030487978995	4.26800990556901e-05	16.7483173033804
