apnd_maf	cpnd_maf	change_abs	change	chrpos	chromo	position	chr_len	chr_start	pos_cum	fdr	neg_log_10_fdr	p_value	test_statistic
0.208371	0.042952	0.165419	-0.165419	NC_043957.1:22956	NC_043957.1	22956	59479124	0	22956	0.658075619284007	0.181724198862001	0.57353504300684	0.316803406674559
5e-06	0.127784	0.127779	0.127779	NC_043957.1:22976	NC_043957.1	22976	59479124	0	22976	1.12198301355368e-22	21.9500137181028	1.40791527145565e-23	100.156880471241
0.331989	0.267921	0.064068	-0.064068	NC_043957.1:569646	NC_043957.1	569646	59479124	0	569646	0.900905685783484	0.0453206721593892	0.846261247382791	0.0375937117352698
4e-06	0.011502	0.011498	0.011498	NC_043957.1:569664	NC_043957.1	569664	59479124	0	569664	0.0402770696726554	1.39494213373136	0.026140462746747	4.94670374778454
0.191098	0.056773	0.134325	-0.134325	NC_043957.1:569704	NC_043957.1	569704	59479124	0	569704	0.69848074090014	0.155845564118311	0.617253977471737	0.249746008484894
5e-06	0.012349	0.012344	0.012344	NC_043957.1:569712	NC_043957.1	569712	59479124	0	569712	0.0539125468236346	1.26831015165634	0.0359345531258616	4.40020773650695
6e-06	0.03295	0.032944	0.032944	NC_043957.1:569723	NC_043957.1	569723	59479124	0	569723	0.00175660921096312	2.75532484430963	0.000851766030780595	11.1248970668152
0.263804	0.049107	0.214697	-0.214697	NC_043957.1:622477	NC_043957.1	622477	59479124	0	622477	0.573764624757259	0.241266231528008	0.487095428009933	0.482936005460792
4e-06	0.014595	0.014591	0.014591	NC_043957.1:791757	NC_043957.1	791757	59479124	0	791757	0.0625160640979508	1.20400837221313	0.0426850315396952	4.10783261902983
0.1148	0.065865	0.048935	-0.048935	NC_043957.1:792043	NC_043957.1	792043	59479124	0	792043	0.873662917724792	0.0586560973536751	0.81420156369318	0.0552293415948939
0.306053	0.259615	0.046438	-0.046438	NC_043957.1:901733	NC_043957.1	901733	59479124	0	901733	0.918471115999915	0.0369344967986671	0.867257290726488	0.0279368852822214
0.055288	0.041908	0.01338	-0.01338	NC_043957.1:901743	NC_043957.1	901743	59479124	0	901743	0.964524778419542	0.0156866109515113	0.922456249738887	0.00947511032888005
5e-06	0.065332	0.065327	0.065327	NC_043957.1:901766	NC_043957.1	901766	59479124	0	901766	3.77617662458871e-25	24.4229477004729	4.2862475949511e-26	111.639216064684
