#Seq_id        Length(bp)     Circularity    Closely_related_species
C4441          7023           no             Apogon semilineatus 


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C4441          28     514    487        +          CDS    ND6        NADH dehydrogenase subunit 6      1              
C4441          511    2330   1820       -          CDS    ND5        NADH dehydrogenase subunit 5      1              
C4441          2348   2421   74         -          tRNA   trnL(uag)  tRNA-Leu                          1              
C4441          2427   2495   69         -          tRNA   trnS(gcu)  tRNA-Ser                          1              
C4441          2495   2564   70         -          tRNA   trnH(gug)  tRNA-His                          1              
C4441          2559   3945   1387       -          CDS    ND4        NADH dehydrogenase subunit 4      1              
C4441          3938   4235   298        -          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
C4441          4235   4304   70         -          tRNA   trnR(ucg)  tRNA-Arg                          1              
C4441          4302   4653   352        -          CDS    ND3        NADH dehydrogenase subunit 3      1              
C4441          4653   4723   71         -          tRNA   trnG(ucc)  tRNA-Gly                          1              
C4441          4722   5508   787        -          CDS    COX3       cytochrome c oxidase subunit III  1              
C4441          5507   6191   685        -          CDS    ATP6       ATP synthase F0 subunit 6         1              
C4441          6181   6349   169        -          CDS    ATP8       ATP synthase F0 subunit 8         1              
C4441          6350   6424   75         -          tRNA   trnK(uuu)  tRNA-Lys                          1              
C4441          6416   7016   601        -          CDS    COX2       cytochrome c oxidase subunit II   1              


Protein coding genes totally found:  9
tRNA genes totally found:            6
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                15


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
COX1                                 1
CYTB                                 1
ND1                                  1
ND2                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Ile                             1
tRNA-Leu                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             1
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
