region	chr	midPos	Nsites
(2,6)(569646,569723)(520000,570000)	NC_043957.1	545000	6	0.012769
(2,6)(569646,569723)(530000,580000)	NC_043957.1	555000	6	0.012769
(2,6)(569646,569723)(540000,590000)	NC_043957.1	565000	6	0.012769
(2,6)(569646,569723)(550000,600000)	NC_043957.1	575000	6	0.012769
(2,6)(569646,569723)(560000,610000)	NC_043957.1	585000	6	0.012769
(7,7)(622477,622477)(580000,630000)	NC_043957.1	605000	2	0.023818
(7,7)(622477,622477)(590000,640000)	NC_043957.1	615000	2	0.023818
(7,7)(622477,622477)(600000,650000)	NC_043957.1	625000	2	0.023818
(7,7)(622477,622477)(610000,660000)	NC_043957.1	635000	2	0.023818
(7,7)(622477,622477)(620000,670000)	NC_043957.1	645000	2	0.023818
(8,9)(791757,792043)(750000,800000)	NC_043957.1	775000	3	0.012600
(8,9)(791757,792043)(760000,810000)	NC_043957.1	785000	3	0.012600
(8,9)(791757,792043)(770000,820000)	NC_043957.1	795000	3	0.012600
(8,9)(791757,792043)(780000,830000)	NC_043957.1	805000	3	0.012600
(8,9)(791757,792043)(790000,840000)	NC_043957.1	815000	3	0.012600
(10,12)(901733,901766)(860000,910000)	NC_043957.1	885000	4	0.005051
(10,12)(901733,901766)(870000,920000)	NC_043957.1	895000	4	0.005051
(10,12)(901733,901766)(880000,930000)	NC_043957.1	905000	4	0.005051
(10,12)(901733,901766)(890000,940000)	NC_043957.1	915000	4	0.005051
(10,12)(901733,901766)(900000,950000)	NC_043957.1	925000	4	0.005051
(13,15)(1114226,1114281)(1070000,1120000)	NC_043957.1	1095000	4	0.013748
(13,78)(1114226,1121849)(1080000,1130000)	NC_043957.1	1105000	67	0.042184
(13,78)(1114226,1121849)(1090000,1140000)	NC_043957.1	1115000	67	0.042184
(13,78)(1114226,1121849)(1100000,1150000)	NC_043957.1	1125000	67	0.042184
(13,78)(1114226,1121849)(1110000,1160000)	NC_043957.1	1135000	67	0.042184
(16,78)(1120481,1121849)(1120000,1170000)	NC_043957.1	1145000	64	0.042572
(79,89)(1823754,1824028)(1780000,1830000)	NC_043957.1	1805000	12	0.018557
(79,89)(1823754,1824028)(1790000,1840000)	NC_043957.1	1815000	12	0.018557
(79,89)(1823754,1824028)(1800000,1850000)	NC_043957.1	1825000	12	0.018557
(79,89)(1823754,1824028)(1810000,1860000)	NC_043957.1	1835000	12	0.018557
(79,89)(1823754,1824028)(1820000,1870000)	NC_043957.1	1845000	12	0.018557
(90,91)(2071362,2075350)(2030000,2080000)	NC_043957.1	2055000	3	0.015922
(90,91)(2071362,2075350)(2040000,2090000)	NC_043957.1	2065000	3	0.015922
(90,91)(2071362,2075350)(2050000,2100000)	NC_043957.1	2075000	3	0.015922
(90,91)(2071362,2075350)(2060000,2110000)	NC_043957.1	2085000	3	0.015922
(90,91)(2071362,2075350)(2070000,2120000)	NC_043957.1	2095000	3	0.015922
(92,93)(2256515,2256545)(2210000,2260000)	NC_043957.1	2235000	3	0.058612
(92,93)(2256515,2256545)(2220000,2270000)	NC_043957.1	2245000	3	0.058612
(92,93)(2256515,2256545)(2230000,2280000)	NC_043957.1	2255000	3	0.058612
(92,93)(2256515,2256545)(2240000,2290000)	NC_043957.1	2265000	3	0.058612
(92,93)(2256515,2256545)(2250000,2300000)	NC_043957.1	2275000	3	0.058612
(94,94)(2457576,2457576)(2410000,2460000)	NC_043957.1	2435000	2	0.017036
(94,94)(2457576,2457576)(2420000,2470000)	NC_043957.1	2445000	2	0.017036
(94,94)(2457576,2457576)(2430000,2480000)	NC_043957.1	2455000	2	0.017036
(94,94)(2457576,2457576)(2440000,2490000)	NC_043957.1	2465000	2	0.017036
(94,94)(2457576,2457576)(2450000,2500000)	NC_043957.1	2475000	2	0.017036
(95,98)(2570300,2570579)(2530000,2580000)	NC_043957.1	2555000	5	0.061298
(95,98)(2570300,2570579)(2540000,2590000)	NC_043957.1	2565000	5	0.061298
(95,98)(2570300,2570579)(2550000,2600000)	NC_043957.1	2575000	5	0.061298
(95,109)(2570300,2600986)(2560000,2610000)	NC_043957.1	2585000	16	0.058417
(95,109)(2570300,2600986)(2570000,2620000)	NC_043957.1	2595000	16	0.058417
(99,109)(2600404,2600986)(2580000,2630000)	NC_043957.1	2605000	12	0.055233
(99,109)(2600404,2600986)(2590000,2640000)	NC_043957.1	2615000	12	0.055233
(99,109)(2600404,2600986)(2600000,2650000)	NC_043957.1	2625000	12	0.055233
(110,112)(2822761,2822846)(2780000,2830000)	NC_043957.1	2805000	4	0.070618
(110,113)(2822761,2839497)(2790000,2840000)	NC_043957.1	2815000	5	0.069914
(110,114)(2822761,2840095)(2800000,2850000)	NC_043957.1	2825000	6	0.064880
(110,114)(2822761,2840095)(2810000,2860000)	NC_043957.1	2835000	6	0.064880
(110,114)(2822761,2840095)(2820000,2870000)	NC_043957.1	2845000	6	0.064880
(113,114)(2839497,2840095)(2830000,2880000)	NC_043957.1	2855000	3	0.020067
(114,114)(2840095,2840095)(2840000,2890000)	NC_043957.1	2865000	2	0.019365
(115,115)(2942881,2942881)(2900000,2950000)	NC_043957.1	2925000	2	0.027164
(115,115)(2942881,2942881)(2910000,2960000)	NC_043957.1	2935000	2	0.027164
(115,115)(2942881,2942881)(2920000,2970000)	NC_043957.1	2945000	2	0.027164
(115,115)(2942881,2942881)(2930000,2980000)	NC_043957.1	2955000	2	0.027164
(115,115)(2942881,2942881)(2940000,2990000)	NC_043957.1	2965000	2	0.027164
(116,119)(2990645,2990872)(2950000,3000000)	NC_043957.1	2975000	5	0.039833
(116,119)(2990645,2990872)(2960000,3010000)	NC_043957.1	2985000	5	0.039833
(116,119)(2990645,2990872)(2970000,3020000)	NC_043957.1	2995000	5	0.039833
(116,121)(2990645,3029518)(2980000,3030000)	NC_043957.1	3005000	7	0.043934
(116,121)(2990645,3029518)(2990000,3040000)	NC_043957.1	3015000	7	0.043934
(120,121)(3029474,3029518)(3000000,3050000)	NC_043957.1	3025000	3	0.047237
(120,121)(3029474,3029518)(3010000,3060000)	NC_043957.1	3035000	3	0.047237
(120,121)(3029474,3029518)(3020000,3070000)	NC_043957.1	3045000	3	0.047237
(122,127)(3155928,3158032)(3110000,3160000)	NC_043957.1	3135000	7	0.019514
(122,127)(3155928,3158032)(3120000,3170000)	NC_043957.1	3145000	7	0.019514
(122,127)(3155928,3158032)(3130000,3180000)	NC_043957.1	3155000	7	0.019514
(122,127)(3155928,3158032)(3140000,3190000)	NC_043957.1	3165000	7	0.019514
(122,127)(3155928,3158032)(3150000,3200000)	NC_043957.1	3175000	7	0.019514
(128,128)(3212508,3212508)(3170000,3220000)	NC_043957.1	3195000	2	0.022327
(128,128)(3212508,3212508)(3180000,3230000)	NC_043957.1	3205000	2	0.022327
(128,128)(3212508,3212508)(3190000,3240000)	NC_043957.1	3215000	2	0.022327
(128,128)(3212508,3212508)(3200000,3250000)	NC_043957.1	3225000	2	0.022327
(128,128)(3212508,3212508)(3210000,3260000)	NC_043957.1	3235000	2	0.022327
(129,133)(3342289,3343510)(3300000,3350000)	NC_043957.1	3325000	6	0.034048
(129,150)(3342289,3359897)(3310000,3360000)	NC_043957.1	3335000	23	0.031968
(129,150)(3342289,3359897)(3320000,3370000)	NC_043957.1	3345000	23	0.031968
(129,150)(3342289,3359897)(3330000,3380000)	NC_043957.1	3355000	23	0.031968
(129,155)(3342289,3386452)(3340000,3390000)	NC_043957.1	3365000	28	0.059858
(134,155)(3357029,3386452)(3350000,3400000)	NC_043957.1	3375000	23	0.066601
(151,155)(3386390,3386452)(3360000,3410000)	NC_043957.1	3385000	6	0.072694
(151,155)(3386390,3386452)(3370000,3420000)	NC_043957.1	3395000	6	0.072694
(151,155)(3386390,3386452)(3380000,3430000)	NC_043957.1	3405000	6	0.072694
(156,164)(3443454,3443661)(3400000,3450000)	NC_043957.1	3425000	10	0.161292
(156,164)(3443454,3443661)(3410000,3460000)	NC_043957.1	3435000	10	0.161292
(156,164)(3443454,3443661)(3420000,3470000)	NC_043957.1	3445000	10	0.161292
(156,164)(3443454,3443661)(3430000,3480000)	NC_043957.1	3455000	10	0.161292
(156,164)(3443454,3443661)(3440000,3490000)	NC_043957.1	3465000	10	0.161292
(165,172)(3522418,3523747)(3480000,3530000)	NC_043957.1	3505000	9	0.025481
(165,172)(3522418,3523747)(3490000,3540000)	NC_043957.1	3515000	9	0.025481
(165,172)(3522418,3523747)(3500000,3550000)	NC_043957.1	3525000	9	0.025481
(165,173)(3522418,3557978)(3510000,3560000)	NC_043957.1	3535000	10	0.024432
(165,173)(3522418,3557978)(3520000,3570000)	NC_043957.1	3545000	10	0.024432
