region	chr	midPos	Nsites
(1,3)(569646,569712)(520000,570000)	NC_043957.1	545000	4	0.042725
(1,3)(569646,569712)(530000,580000)	NC_043957.1	555000	4	0.042725
(1,3)(569646,569712)(540000,590000)	NC_043957.1	565000	4	0.042725
(1,3)(569646,569712)(550000,600000)	NC_043957.1	575000	4	0.042725
(1,3)(569646,569712)(560000,610000)	NC_043957.1	585000	4	0.042725
(4,4)(622477,622477)(580000,630000)	NC_043957.1	605000	2	0.045757
(4,4)(622477,622477)(590000,640000)	NC_043957.1	615000	2	0.045757
(4,4)(622477,622477)(600000,650000)	NC_043957.1	625000	2	0.045757
(4,4)(622477,622477)(610000,660000)	NC_043957.1	635000	2	0.045757
(4,4)(622477,622477)(620000,670000)	NC_043957.1	645000	2	0.045757
(5,6)(791757,792043)(750000,800000)	NC_043957.1	775000	3	0.040067
(5,6)(791757,792043)(760000,810000)	NC_043957.1	785000	3	0.040067
(5,6)(791757,792043)(770000,820000)	NC_043957.1	795000	3	0.040067
(5,6)(791757,792043)(780000,830000)	NC_043957.1	805000	3	0.040067
(5,6)(791757,792043)(790000,840000)	NC_043957.1	815000	3	0.040067
(7,8)(901733,901743)(860000,910000)	NC_043957.1	885000	3	0.004712
(7,8)(901733,901743)(870000,920000)	NC_043957.1	895000	3	0.004712
(7,8)(901733,901743)(880000,930000)	NC_043957.1	905000	3	0.004712
(7,8)(901733,901743)(890000,940000)	NC_043957.1	915000	3	0.004712
(7,8)(901733,901743)(900000,950000)	NC_043957.1	925000	3	0.004712
(9,30)(1120496,1121849)(1080000,1130000)	NC_043957.1	1105000	23	0.010828
(9,30)(1120496,1121849)(1090000,1140000)	NC_043957.1	1115000	23	0.010828
(9,30)(1120496,1121849)(1100000,1150000)	NC_043957.1	1125000	23	0.010828
(9,30)(1120496,1121849)(1110000,1160000)	NC_043957.1	1135000	23	0.010828
(9,30)(1120496,1121849)(1120000,1170000)	NC_043957.1	1145000	23	0.010828
(31,33)(1823755,1824002)(1780000,1830000)	NC_043957.1	1805000	4	0.044157
(31,33)(1823755,1824002)(1790000,1840000)	NC_043957.1	1815000	4	0.044157
(31,33)(1823755,1824002)(1800000,1850000)	NC_043957.1	1825000	4	0.044157
(31,33)(1823755,1824002)(1810000,1860000)	NC_043957.1	1835000	4	0.044157
(31,33)(1823755,1824002)(1820000,1870000)	NC_043957.1	1845000	4	0.044157
(34,34)(2256515,2256515)(2210000,2260000)	NC_043957.1	2235000	2	0.056082
(34,34)(2256515,2256515)(2220000,2270000)	NC_043957.1	2245000	2	0.056082
(34,34)(2256515,2256515)(2230000,2280000)	NC_043957.1	2255000	2	0.056082
(34,34)(2256515,2256515)(2240000,2290000)	NC_043957.1	2265000	2	0.056082
(34,34)(2256515,2256515)(2250000,2300000)	NC_043957.1	2275000	2	0.056082
