Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sor-ACeb_001-Ex1-8E-lcwgs-1-2.clmp.fp2_r1_screen	10771.0	1456.0	1092.0	3117.0	655.0	226.0	226.0	35.0	2.0	0.0	33412.0	643716.0
Sor-ACeb_001-Ex1-8E-lcwgs-1-2.clmp.fp2_r2_screen	10850.0	1461.0	1043.0	3091.0	613.0	208.0	197.0	50.0	1.0	0.0	33478.0	643716.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-2.clmp.fp2_r1_screen	1373.0	104.0	75.0	1706.0	57.0	9.0	9.0	1.0	0.0	0.0	6023.0	99692.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-2.clmp.fp2_r2_screen	1416.0	114.0	86.0	1712.0	48.0	5.0	10.0	4.0	0.0	0.0	5973.0	99681.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-2.clmp.fp2_r1_screen	3084.0	319.0	238.0	411.0	153.0	39.0	46.0	9.0	0.0	0.0	8253.0	282782.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-2.clmp.fp2_r2_screen	3094.0	329.0	219.0	396.0	158.0	34.0	35.0	22.0	1.0	0.0	8205.0	282841.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-2.clmp.fp2_r1_screen	2513.0	250.0	171.0	618.0	118.0	26.0	26.0	5.0	0.0	0.0	11135.0	196544.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-2.clmp.fp2_r2_screen	2537.0	245.0	198.0	626.0	107.0	26.0	20.0	7.0	0.0	0.0	11033.0	196607.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-2.clmp.fp2_r1_screen	651.0	1354.0	79.0	2580.0	18.0	7.0	7.0	5.0	0.0	0.0	3206.0	37405.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-2.clmp.fp2_r2_screen	652.0	1324.0	68.0	2643.0	21.0	5.0	1.0	3.0	0.0	0.0	3168.0	37427.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-2.clmp.fp2_r1_screen	405.0	38.0	28.0	257.0	16.0	3.0	1.0	0.0	0.0	0.0	1820.0	29608.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-2.clmp.fp2_r2_screen	410.0	35.0	21.0	262.0	16.0	1.0	3.0	1.0	0.0	0.0	1829.0	29598.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-2.clmp.fp2_r1_screen	236.0	15.0	17.0	84.0	16.0	5.0	1.0	2.0	1.0	0.0	980.0	15123.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-2.clmp.fp2_r2_screen	234.0	18.0	13.0	89.0	9.0	5.0	3.0	0.0	0.0	0.0	994.0	15115.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-2.clmp.fp2_r1_screen	466.0	50.0	35.0	130.0	26.0	12.0	6.0	1.0	1.0	0.0	1423.0	37283.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-2.clmp.fp2_r2_screen	510.0	46.0	38.0	118.0	26.0	7.0	11.0	1.0	0.0	0.0	1452.0	37224.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-2.clmp.fp2_r1_screen	142.0	11.0	6.0	20.0	6.0	1.0	1.0	1.0	0.0	0.0	448.0	10961.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-2.clmp.fp2_r2_screen	160.0	12.0	11.0	22.0	6.0	1.0	3.0	1.0	0.0	0.0	443.0	10938.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	676.0	71.0	42.0	474.0	26.0	8.0	9.0	1.0	0.0	0.0	3135.0	52870.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	710.0	67.0	42.0	499.0	31.0	10.0	5.0	2.0	0.0	0.0	3099.0	52847.0
